Id|업태|종목|자금종류
1|제조업|전자제품 제조|시설자금
2|제조업|전자제품 제조|R&D자금
3|제조업|전자제품 제조|운전자금
4|제조업|반도체 제조|시설자금
5|제조업|반도체 제조|설비투자자금
6|제조업|반도체 제조|R&D자금
7|제조업|자동차 부품 제조|시설자금
8|제조업|자동차 부품 제조|운전자금
9|제조업|자동차 부품 제조|설비투자자금
10|제조업|식품 가공|시설자금
11|제조업|식품 가공|운전자금
12|제조업|식품 가공|위생설비자금
13|제조업|의류 제조|운전자금
14|제조업|의류 제조|시설자금
15|제조업|의류 제조|재고자금
16|제조업|화장품 제조|R&D자금
17|제조업|화장품 제조|시설자금
18|제조업|화장품 제조|운전자금
19|제조업|플라스틱 제품 제조|시설자금
20|제조업|플라스틱 제품 제조|운전자금
21|제조업|플라스틱 제품 제조|환경설비자금
22|제조업|금속 가공|시설자금
23|제조업|금속 가공|설비투자자금
24|제조업|금속 가공|운전자금
25|제조업|기계 제조|시설자금
26|제조업|기계 제조|R&D자금
27|제조업|기계 제조|설비투자자금
28|제조업|의료기기 제조|R&D자금
29|제조업|의료기기 제조|시설자금
30|제조업|의료기기 제조|인증자금
31|서비스업|음식점|창업자금
32|서비스업|음식점|운전자금
33|서비스업|음식점|시설자금
34|서비스업|카페|창업자금
35|서비스업|카페|운전자금
36|서비스업|카페|인테리어자금
37|서비스업|미용실|창업자금
38|서비스업|미용실|운전자금
39|서비스업|미용실|시설자금
40|서비스업|세탁소|시설자금
41|서비스업|세탁소|운전자금
42|서비스업|세탁소|설비투자자금
43|서비스업|PC방|시설자금
44|서비스업|PC방|설비투자자금
45|서비스업|PC방|운전자금
46|서비스업|헬스장|시설자금
47|서비스업|헬스장|설비투자자금
48|서비스업|헬스장|창업자금
49|서비스업|학원|창업자금
50|서비스업|학원|운전자금
51|서비스업|학원|시설자금
52|서비스업|병원|개원자금
53|서비스업|병원|시설자금
54|서비스업|병원|의료설비자금
55|서비스업|변호사 사무소|창업자금
56|서비스업|변호사 사무소|운전자금
57|서비스업|회계 사무소|창업자금
58|서비스업|회계 사무소|운전자금
59|서비스업|회계 사무소|시스템구축자금
60|도소매업|의류 판매|운전자금
61|도소매업|의류 판매|재고자금
62|도소매업|의류 판매|점포자금
63|도소매업|식품 판매|운전자금
64|도소매업|식품 판매|재고자금
65|도소매업|식품 판매|냉장설비자금
66|도소매업|전자제품 판매|운전자금
67|도소매업|전자제품 판매|재고자금
68|도소매업|전자제품 판매|점포자금
69|도소매업|화장품 판매|운전자금
70|도소매업|화장품 판매|재고자금
71|도소매업|화장품 판매|마케팅자금
72|도소매업|서적 판매|운전자금
73|도소매업|서적 판매|재고자금
74|도소매업|가구 판매|운전자금
75|도소매업|가구 판매|재고자금
76|도소매업|가구 판매|전시장자금
77|도소매업|자동차 판매|운전자금
78|도소매업|자동차 판매|전시장자금
79|도소매업|자동차 판매|재고자금
80|도소매업|농산물 판매|운전자금
81|도소매업|농산물 판매|재고자금
82|도소매업|농산물 판매|저장시설자금
83|도소매업|건축자재 판매|운전자금
